   0.000 1767781419.429917091  rpp:cam:cam0,t:419429
   0.000 1767781380.442460091  rpp:cam:cam0,t:380442
   0.000 1767781464.981564091  rpp:cam:cam0,t:464981
   0.000 1767781468.694471091  rpp:cam:cam0,t:468694
   0.000 1767781479.237040091  rpp:cam:cam0,t:479237
   0.000 1767781383.360104091  rpp:cam:cam0,t:383360
   0.000 1767781472.274924091  rpp:cam:cam0,t:472274
   0.000 1767781355.975841091  rpp:cam:cam0,t:355975
   0.000 1767781439.188837091  rpp:cam:cam0,t:439188
   0.000 1767781400.798285091  rpp:cam:cam0,t:400798
   0.000 1767781463.721668091  rpp:cam:cam0,t:463721
   0.000 1767781482.485879091  rpp:cam:cam0,t:482485
   0.000 1767781458.417356091  rpp:cam:cam0,t:458417
   0.000 1767781421.750500091  rpp:cam:cam0,t:421750
   0.000 1767781351.865066091  rpp:cam:cam0,t:351865
   0.000 1767781417.042843091  rpp:cam:cam0,t:417042
   0.000 1767781473.932733091  rpp:cam:cam0,t:473932
   0.000 1767781458.350973091  rpp:cam:cam0,t:458350
   0.000 1767781483.613039091  rpp:cam:cam0,t:483613
   0.000 1767781334.095295091  rpp:cam:cam0,t:334095
   0.000 1767781364.396772091  rpp:cam:cam0,t:364396
   0.000 1767781363.402111091  rpp:cam:cam0,t:363402
   0.000 1767781428.182094091  rpp:cam:cam0,t:428182
   0.000 1767781452.847666091  rpp:cam:cam0,t:452847
   0.000 1767781469.888098091  rpp:cam:cam0,t:469888
   0.000 1767781408.953813091  rpp:cam:cam0,t:408953
   0.000 1767781458.284715091  rpp:cam:cam0,t:458284
   0.000 1767781479.701187091  rpp:cam:cam0,t:479701
   0.000 1767781482.154492091  rpp:cam:cam0,t:482154
   0.000 1767781330.315914091  rpp:cam:cam0,t:330315
   0.000 1767781364.330386091  rpp:cam:cam0,t:364330
   0.000 1767781467.368528091  rpp:cam:cam0,t:467368
   0.000 1767781418.833305091  rpp:cam:cam0,t:418833
   0.000 1767781402.588362091  rpp:cam:cam0,t:402588
   0.000 1767781336.880023091  rpp:cam:cam0,t:336880
   0.000 1767781464.318416091  rpp:cam:cam0,t:464318
   0.000 1767781424.137586091  rpp:cam:cam0,t:424137
   0.000 1767781383.691566091  rpp:cam:cam0,t:383691
   0.000 1767781436.138864091  rpp:cam:cam0,t:436138
   0.000 1767781384.884985091  rpp:cam:cam0,t:384884
   0.000 1767781340.526905091  rpp:cam:cam0,t:340526
   0.000 1767781383.161050091  rpp:cam:cam0,t:383161
   0.000 1767781383.890326091  rpp:cam:cam0,t:383890
   0.000 1767781437.464863091  rpp:cam:cam0,t:437464
   0.000 1767781463.456517091  rpp:cam:cam0,t:463456
   0.000 1767781470.352239091  rpp:cam:cam0,t:470352
   0.000 1767781471.081522091  rpp:cam:cam0,t:471081
   0.000 1767781479.634935091  rpp:cam:cam0,t:479634
   0.000 1767781318.381030091  rpp:cam:cam0,t:318381
   0.000 1767781323.420160091  rpp:cam:cam0,t:323420
   0.000 1767781433.022390091  rpp:cam:cam0,t:433022
   0.000 1767781364.462889091  rpp:cam:cam0,t:364462
   0.000 1767781478.308770091  rpp:cam:cam0,t:478308
